theta_x,theta_y,motor velocity_x,motor velocity_y
76.4408223629,-2.883,76.4408657551,-28.34
76.4900000095,-2.8846,76.4900307655,-28.93
76.5391051769,-2.8846,76.5391397476,-30.71
76.5881657600,-2.8846,76.5882058144,-30.08
76.6441609859,-2.883,76.6442027092,-29.43
76.6910908222,-2.8846,76.6911561489,-29.35
76.7439231873,-2.8846,76.7439537048,-29.07
76.7928891182,-2.8846,76.7929196358,-29.43
76.8421759605,6164.5,76.8422050476,-29.28
76.8914144039,-2.883,76.8914482594,-28.55
76.9444484711,-2.883,76.9444735050,-28.94
76.9937372208,-2.8846,76.9937846661,-28.04
77.0428435802,-2.883,77.0428917408,-29.44
77.0960962772,-2.883,77.0961344242,-27.33
77.1453664303,-2.8846,77.145428896,-28.96
77.1945300102,-2.8846,77.194583416,-30.45
77.247631073,-2.8846,77.2476615906,-28.31
77.2989282608,-2.883,77.2989470959,-28.8
77.3464238644,-2.8846,77.3464524746,-27.46
77.3979394436,-2.8846,77.3979578018,-30.75
77.4444818497,-2.8846,77.4445106983,-30.51
77.4975357056,-2.8892,77.4975745678,-28.94
77.5466527939,-2.8861,77.5466861725,-28.8
77.5957837105,-2.8876,77.5958058834,-25.21
77.6448450089,-2.8861,77.6448674202,-22.72
77.6982588768,-2.8892,77.6982860565,-7.
77.7473554611,-2.8861,77.7473993301,6.01
77.8004682064,-2.8892,77.8005125523,14.27
77.8497848511,-2.8876,77.849855423,15.51
77.8991253376,-2.8861,77.8992052078,17.33
77.9560673237,-2.8892,77.9560823441,15.85
78.0055284500,-2.8861,78.0055620670,16.07
78.0532422066,-2.8892,78.0532753468,13.83
78.1036679745,-2.8876,78.1037030220,13.86
78.1527540684,-2.8907,78.1527941227,13.97
78.2019941807,-2.8861,78.2020306587,12.87
78.2552108765,-2.8876,78.2552416325,12.01
78.3043711185,-2.8907,78.304412365,12.01
78.3576552868,-2.8907,78.3576812744,11.85
78.4068531990,-2.8907,78.4069051743,11.25
78.4559538364,-2.8922,78.4559924603,12.78
78.5053012371,-2.8907,78.5053491592,12.61
78.5584394932,-2.8922,78.5584969521,12.67
78.6172480583,-2.8892,78.6172754765,12.09
78.6614189148,-2.8892,78.6614513397,12.96
78.7097558975,-2.8907,78.7097826004,13.61
78.7630753517,-2.8907,78.7631208897,18.83
78.8120937347,-2.8907,78.8121356964,26.01
78.8653421402,-2.8907,78.8653776646,28.98
78.9146656990,-2.8892,78.9147152901,30.44
78.9637815952,-2.8922,78.9638314247,30.23
79.0130138397,-2.8907,79.0130572319,31.21
79.0662386417,-2.8892,79.0662970543,32.56
79.1155169010,-2.8922,79.1155593395,32.57
79.1687681675,-2.8907,79.1688475609,30.71
79.2217741013,-2.8907,79.2217919827,31.38
79.2711672783,-2.8907,79.2711822987,32.02
79.3200957775,-2.8907,79.3201422691,33.19
79.3693003654,-2.8938,79.3693373203,31.64
79.4225232601,-2.8907,79.4225668907,30.86
79.4716930389,-2.8922,79.4717416763,28.9
79.5207648277,-2.8922,79.5207922459,27.52
79.5740003586,-2.8938,79.5740327835,27.7
79.6231920719,-2.8953,79.6232421398,24.02
79.6724164486,-2.8953,79.6724414825,20.58
79.7257483006,-2.8922,79.7258260250,19.91
79.7807672024,-2.8953,79.7807960510,20.32
79.8242604733,-2.8922,79.8242928982,20.36
79.8778920174,-2.8953,79.8779158592,19.26
79.9323456287,-2.8984,79.9323608875,20.41
79.9790227413,-2.8984,79.9790530205,18.96
80.0315890312,-2.8953,80.0316078663,17.31
80.0793073177,-2.8938,80.0793247223,15.55
80.1311364174,-2.8968,80.1311717033,13.7
80.1801979542,-2.8984,80.1802353859,12.53
80.2334759235,-2.8953,80.2334957123,10.79
80.2826371193,-2.8953,80.2826910019,8.58
80.3318631649,-2.8938,80.3318939209,7.61
80.3849856853,-2.8953,80.3850257397,5.46
80.4341990948,-2.8938,80.4342265129,3.82
80.4873669147,-2.8922,80.4874217510,0.86
80.5364480019,-2.8953,80.5365035534,-4.48
80.5857789516,-2.8922,80.5858063698,-8.03
80.6348428726,-2.8938,80.6348776817,-8.1
80.6839931011,-2.8907,80.6840260029,-9.75
80.7370843887,-2.8922,80.7371122837,-10.83
80.7862672806,-2.8907,80.7863066196,-11.79
80.8353910446,-2.8892,80.8354141712,-12.52
80.8920977116,-2.8907,80.8921151161,-14.34
80.9379489422,-2.8892,80.9379668236,-14.69
80.9870769978,-2.8876,80.9871101379,-15.91
81.0402543545,-2.8892,81.0402953625,-17.61
81.0894596577,-2.8922,81.0894935131,-17.88
81.1386163235,-2.8876,81.1386518478,-20.28
81.1877019405,-2.8876,81.1877563,-21.03
81.2410564423,-2.8876,81.2410948277,-22.83
81.2941675186,-2.8861,81.2942242622,-27.52
81.3434019089,-2.8861,81.3434453011,-27.26
81.3926596642,-2.8861,81.3926999569,-29.5
81.4479193687,-2.8846,81.4479470253,-28.1
81.4962339401,-2.8846,81.4962627888,-28.74
81.5464801788,-2.8861,81.5465147495,-29.08
81.5934586525,-2.883,81.5934920311,-31.35
81.6464431286,-2.8861,81.6464776993,-29.09
81.6954929829,-2.883,81.6955158710,-29.03
81.7451794147,-2.8846,81.7452142239,-30.19
81.7938075066,-2.883,81.7938477993,-30.68
81.8429753780,-2.8861,81.8430159092,-29.99
81.8963050842,-2.8846,81.8963425159,-29.16
81.9489369392,-2.8876,81.9489653111,-28.34
81.994699955,-2.8861,81.9947607517,-24.66
82.0479507446,-2.8846,82.0480256081,-22.77
82.1061258316,-2.8861,82.1061413288,-18.98
82.148881197,-2.883,82.1489083767,-11.54
82.1992545128,-2.8846,82.1992714405,1.72
82.2485020161,-2.883,82.2485361099,4.31
82.2976965904,-2.8861,82.2977235317,7.69
82.3508677483,-2.8846,82.3508944511,7.72
82.4000353813,-2.8846,82.4000606537,9.46
82.4532589912,-2.8861,82.4532999992,9.23
82.5024831295,-2.8876,82.5025131702,9.85
82.5516421795,-2.8892,82.5516707897,8.56
82.6006777287,-2.8846,82.6007044315,8.6
82.6540107727,-2.8846,82.6540439129,8.45
82.7086079121,-2.8861,82.7086303234,8.47
82.7563989162,-2.8861,82.7564229965,8.62
82.8055503368,-2.8861,82.8055915833,8.64
82.8588056564,-2.8846,82.8588452339,9.52
82.9078731537,-2.8876,82.9079172611,8.64
82.961057663,-2.8861,82.9610953331,9.25
83.0102028847,-2.8892,83.0102562904,7.7
83.0594937801,-2.8876,83.0595219135,8.6
83.1086952686,-2.8876,83.1087393761,6.74
83.1618809700,-2.8892,83.1619541645,6.82
83.2110333443,-2.8876,83.2110829353,6.88
83.2643494606,-2.8861,83.2644031048,7.67
83.3174161911,-2.8876,83.3174340725,7.47
83.3664400578,-2.8892,83.3664734364,7.04
83.4158413410,-2.8876,83.4158830643,7.7
83.4649903774,-2.8907,83.4650237560,6.65
83.5182113647,-2.8876,83.5182468891,5.43
83.5673463345,-2.8892,83.5673716068,3.83
83.6164700985,-2.8861,83.6165063381,1.69
83.6695628166,-2.8876,83.6696040630,-3.58
83.7188577652,-2.8861,83.7189013958,-9.81
83.7680919170,-2.8876,83.7681257725,-12.66
83.8173193932,-2.8876,83.8173685074,-16.09
83.8721256256,-2.8846,83.8721661568,-17.21
83.9208772182,-2.8846,83.9208955765,-17.18
83.9692635536,-2.8861,83.9692804813,-17.27
84.0220274925,-2.883,84.0220608711,-14.4
84.0711467266,-2.8846,84.0711805820,-13.6
84.1202895641,-2.883,84.1203241348,-8.96
