times,theta
13.6,301.8169777
13.7,289.3379569
13.7,276.589646
13.8,264.6377464
13.8,262.8787659
13.9,263.583504
13.9,265.8696056
14.0,267.4509692
14.0,267.8004734
14.1,267.8921467
14.1,268.1557072
14.2,268.064034
14.2,267.3650255
14.3,265.1648676
14.3,264.1106252
14.3,262.6152054
14.4,261.2114588
14.4,259.3665347
14.5,259.9795995
14.5,262.0021405
14.6,265.5201014
14.6,269.5594538
14.7,271.9314991
14.7,274.5728345
14.8,278.4402997
14.8,280.3711674
14.9,281.6889704
14.9,281.5113534
15.0,281.9525309
15.0,282.3020352
15.1,279.7581026
15.1,281.8665873
15.2,281.3394661
15.2,282.2160915
15.2,282.1301479
15.3,279.9299899
15.3,279.6664293
15.4,281.774914
15.4,281.5113534
15.5,281.6030267
15.5,282.3937084
15.6,281.4254098
15.6,282.7432127
15.7,283.0984465
15.7,279.9299899
15.8,282.4796521
15.8,282.3020352
15.8,281.1618492
15.9,282.4796521
15.9,282.0384746
16.0,280.3711674
16.0,281.5113534
16.1,283.0984465
16.1,280.9842323
16.2,281.6889704
16.2,281.6030267
16.3,281.1618492
16.3,282.3937084
16.4,280.9842323
16.4,281.2477929
16.5,282.657269
16.5,280.1935505
16.5,281.6030267
16.6,280.8123449
16.6,281.4254098
16.7,282.657269
16.7,280.8982886
16.8,282.3020352
16.8,282.0384746
16.9,280.4571111
16.9,281.6030267
17.0,281.6030267
17.0,280.3711674
17.1,281.9525309
17.1,281.774914
17.2,280.2852238
17.2,282.3937084
17.3,281.6889704
17.3,280.7206717
17.3,281.8665873
17.4,280.1935505
17.4,282.1301479
17.5,281.1618492
17.5,282.3020352
17.6,280.8982886
17.6,281.8665873
17.7,282.2160915
17.7,280.8123449
17.8,282.9208296
17.8,280.9842323
17.9,282.3020352
17.9,283.0067733
18.0,280.634728
18.0,282.3937084
18.1,280.5487843
18.1,281.9525309
18.1,280.7206717
18.2,281.0759055
18.2,281.5113534
18.3,280.7206717
18.3,281.774914
18.4,280.5487843
18.4,281.6889704
18.5,280.634728
18.5,280.9842323
18.6,280.8123449
18.6,280.5487843
18.7,280.8123449
18.7,280.7206717
18.8,280.8982886
18.8,280.8123449
18.9,280.8982886
18.9,280.9842323
18.9,280.8982886
19.0,280.8123449
19.0,280.7206717
19.1,280.8123449
19.1,280.9842323
19.2,281.2477929
