header_update,time,theta
27:55.6,280.9842323,1.89
27:55.7,281.774914,-12.37
27:55.7,281.3394661,16.75
27:55.8,280.8123449,16.75
27:55.8,282.2160915,-22.5
27:55.9,279.9299899,2.77
27:55.9,281.4254098,2.77
27:56.0,282.3937084,-19.84
27:56.0,281.1618492,5.74
27:56.1,281.9525309,-6.86
27:56.1,283.975072,-13.7
27:56.2,280.8123449,14.06
27:56.2,280.0216632,2.79
27:56.3,282.3937084,-24.56
27:56.3,283.0984465,-3.81
27:56.4,280.7206717,16.22
27:56.4,281.6889704,-19.93
27:56.4,282.2160915,-19.93
27:56.5,280.8123449,-1.88
27:56.5,281.4254098,0.45
27:56.6,283.1843902,-21.5
27:56.6,281.0759055,13.03
27:56.7,281.8665873,-10.52
27:56.7,282.3937084,-13.19
27:56.8,280.4571111,2.79
27:56.8,281.9525309,-16.8
27:56.9,281.8665873,6.69
27:56.9,280.8982886,-8.56
27:57.0,282.3937084,-23.85
27:57.0,281.5113534,16.23
27:57.1,279.9299899,16.23
27:57.1,282.3937084,-18.02
27:57.1,280.8123449,-7.67
27:57.2,281.6889704,-1.78
27:57.2,282.3937084,-18.84
27:57.3,280.9842323,-0.86
27:57.3,280.634728,-1.86
27:57.4,282.834886,-19.74
27:57.4,281.1618492,3.8
27:57.5,281.8665873,-21.78
27:57.5,280.7206717,6.6
27:57.6,280.7206717,-8.39
27:57.6,282.1301479,-26.02
27:57.7,282.1301479,12.31
27:57.7,279.3169251,-8.58
27:57.8,281.6030267,-8.58
27:57.8,281.8665873,-28.51
27:57.9,281.3394661,0.95
27:57.9,281.774914,-15.75
27:57.9,280.7206717,-10.09
27:58.0,279.5804857,-0.95
27:58.0,281.8665873,-20.99
27:58.1,282.3937084,-11.31
27:58.1,280.8982886,3.44
27:58.2,281.4254098,-22.36
27:58.2,282.3020352,0.85
27:58.3,280.3711674,-14.52
27:58.3,281.6889704,-14.52
27:58.4,281.2477929,-18.75
27:58.4,281.8665873,-0.95
27:58.5,281.6030267,-8.46
27:58.5,280.8123449,-5.67
27:58.6,281.774914,-25.9
27:58.6,281.774914,-3.37
27:58.6,281.0759055,-9.24
27:58.7,282.2160915,-27.33
27:58.7,281.0759055,10.39
27:58.8,280.3711674,-19.93
27:58.8,281.6030267,-21.78
