time

# header_update,time,theta

# header_update,time,theta,motor velocity
12:50:20.196,273.86809645882244,-1.49
12:50:20.257,273.4269189566293,-1.49
12:50:20.303,273.86809645882244,-1.49
12:50:20.350,273.3409752873709,-1.49
12:50:20.397,273.16335837090355,-1.49
12:50:20.443,273.9540401280808,-1.27
12:50:20.489,273.60453587309667,-1.27
12:50:20.536,273.9540401280808,-1.27
12:50:20.582,274.1316570445482,-1.27
12:50:20.628,273.9540401280808,-1.27
12:50:20.675,275.27184305670966,-1.27
12:50:20.720,275.5354036424354,-1.27
12:50:20.767,276.6813192325474,-1.27
12:50:20.814,276.76726290180585,-1.27
12:50:20.860,277.64388832824153,-1.27
12:50:20.906,277.9074489139673,-1.27
12:50:20.951,278.26268274690204,-1.27
12:50:20.996,277.38032774251576,-1.52
12:50:21.043,277.38032774251576,-1.52
12:50:21.089,277.0308234875316,-1.52
12:50:21.136,276.41775864682165,-1.52
12:50:21.181,276.6813192325474,-1.52
12:50:21.227,276.32608539961274,-1.52
12:50:21.289,277.20844040399896,-1.52
12:50:21.335,276.9448798182732,-1.52
12:50:21.380,276.6813192325474,-1.52
12:50:21.417,276.6813192325474,-1.52
12:50:21.465,276.6813192325474,-1.52
12:50:21.518,274.8363951324671,-1.52
12:50:21.566,275.1858993874513,-1.52
12:50:21.614,275.1858993874513,-1.52
12:50:21.660,275.97658114462854,-1.52
12:50:21.708,275.36351630391863,-1.52
12:50:21.756,276.06252481388697,-1.52
12:50:21.792,275.89063747537017,-1.53
12:50:21.848,276.2401417303543,-1.53
12:50:21.894,276.41775864682165,-1.53
12:50:21.940,276.41775864682165,-1.53
12:50:21.986,275.89063747537017,-1.47
12:50:22.033,276.5037023160801,-1.47
12:50:22.080,276.1541980610959,-1.47
12:50:22.126,276.06252481388697,-1.47
12:50:22.172,276.9448798182732,-1.47
12:50:22.218,275.71302055890277,-1.47
12:50:22.264,276.06252481388697,-1.47
12:50:22.310,275.97658114462854,-1.47
12:50:22.356,276.41775864682165,-1.47
